INMETER_TEST_X,INMETER_TEST_Y,,distance,phase,,reconstruct_x,reconstrut_y
0.056,0.172,,0.181,1.257,,0.056,0.172
0.043,0.170,,0.175,1.322,,0.043,0.170
0.026,0.163,,0.165,1.414,,0.026,0.163
0.008,0.151,,0.151,1.520,,0.008,0.151
-0.016,0.121,,0.123,1.702,,-0.016,0.121
-0.016,0.120,,0.121,1.704,,-0.016,0.120
-0.022,0.111,,0.114,1.769,,-0.022,0.111
-0.025,0.104,,0.107,1.807,,-0.025,0.104
-0.030,0.099,,0.103,1.863,,-0.030,0.099
-0.038,0.082,,0.091,2.002,,-0.038,0.082
-0.042,0.068,,0.080,2.130,,-0.042,0.068
-0.044,0.066,,0.079,2.162,,-0.044,0.066
-0.055,0.028,,0.062,2.677,,-0.055,0.028
-0.058,0.011,,0.059,2.950,,-0.058,0.011
-0.057,0.009,,0.058,2.977,,-0.057,0.009
-0.059,0.006,,0.059,3.043,,-0.059,0.006
-0.060,-0.002,,0.060,-3.101,,-0.060,-0.002
-0.060,-0.035,,0.069,-2.609,,-0.060,-0.035
-0.055,-0.072,,0.090,-2.227,,-0.055,-0.072
-0.049,-0.098,,0.110,-2.033,,-0.049,-0.098
-0.046,-0.102,,0.112,-1.996,,-0.046,-0.102
-0.045,-0.109,,0.118,-1.964,,-0.045,-0.109
-0.042,-0.111,,0.119,-1.937,,-0.042,-0.111
-0.030,-0.142,,0.145,-1.777,,-0.030,-0.142
-0.014,-0.166,,0.167,-1.656,,-0.014,-0.166
-0.001,-0.180,,0.180,-1.574,,-0.001,-0.180
0.018,-0.191,,0.192,-1.478,,0.018,-0.191
0.026,-0.192,,0.194,-1.437,,0.026,-0.192
0.030,-0.195,,0.197,-1.420,,0.030,-0.195
0.064,-0.196,,0.207,-1.255,,0.064,-0.196
0.084,-0.190,,0.208,-1.154,,0.084,-0.190
0.104,-0.179,,0.207,-1.044,,0.104,-0.179
0.115,-0.168,,0.204,-0.970,,0.115,-0.168
0.131,-0.143,,0.193,-0.829,,0.131,-0.143
0.131,-0.138,,0.190,-0.813,,0.131,-0.138
0.133,-0.133,,0.188,-0.783,,0.133,-0.133
0.134,-0.120,,0.180,-0.729,,0.134,-0.120
0.133,-0.094,,0.163,-0.616,,0.133,-0.094
0.132,-0.093,,0.161,-0.613,,0.132,-0.093
0.132,-0.089,,0.159,-0.594,,0.132,-0.089
0.128,-0.081,,0.151,-0.563,,0.128,-0.081
0.128,-0.076,,0.149,-0.537,,0.128,-0.076
0.115,-0.056,,0.128,-0.454,,0.115,-0.056
0.107,-0.049,,0.118,-0.428,,0.107,-0.049
0.104,-0.042,,0.113,-0.387,,0.104,-0.042
0.101,-0.040,,0.109,-0.373,,0.101,-0.040
0.097,-0.013,,0.098,-0.137,,0.097,-0.013
0.101,-0.001,,0.101,-0.006,,0.101,-0.001
0.112,0.017,,0.113,0.149,,0.112,0.017
0.122,0.024,,0.124,0.195,,0.122,0.024
0.131,0.034,,0.135,0.255,,0.131,0.034
0.144,0.055,,0.154,0.364,,0.144,0.055
0.150,0.071,,0.166,0.445,,0.150,0.071
0.152,0.090,,0.176,0.534,,0.152,0.090
0.148,0.111,,0.185,0.646,,0.148,0.111
0.144,0.121,,0.189,0.700,,0.144,0.121
0.138,0.133,,0.192,0.768,,0.138,0.133
0.122,0.152,,0.195,0.891,,0.122,0.152
0.108,0.162,,0.194,0.982,,0.108,0.162
0.093,0.168,,0.192,1.064,,0.093,0.168
0.071,0.172,,0.186,1.183,,0.071,0.172
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
