INMETER_TEST_X,INMETER_TEST_Y,,distance,phase,,reconstruct_x,reconstrut_y
-0.076,-0.010,,0.077,-3.016,,-0.076,-0.010
-0.075,-0.034,,0.082,-2.710,,-0.075,-0.034
-0.066,-0.047,,0.081,-2.518,,-0.066,-0.047
-0.050,-0.058,,0.077,-2.281,,-0.050,-0.058
-0.012,-0.073,,0.074,-1.729,,-0.012,-0.073
0.027,-0.076,,0.080,-1.229,,0.027,-0.076
0.062,-0.069,,0.093,-0.836,,0.062,-0.069
0.096,-0.054,,0.110,-0.508,,0.096,-0.054
0.115,-0.034,,0.120,-0.291,,0.115,-0.034
0.122,-0.016,,0.123,-0.131,,0.122,-0.016
0.122,0.001,,0.122,0.011,,0.122,0.001
0.107,0.023,,0.110,0.213,,0.107,0.023
0.084,0.038,,0.092,0.426,,0.084,0.038
0.043,0.047,,0.064,0.827,,0.043,0.047
0.013,0.047,,0.049,1.299,,0.013,0.047
-0.018,0.042,,0.045,1.979,,-0.018,0.042
-0.044,0.031,,0.053,2.530,,-0.044,0.031
-0.066,0.012,,0.067,2.957,,-0.066,0.012
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
