pose,id,x,y,z,a,b,c,d
1,1,0.151586965,0.003470096,0.065472916,0.004187951,0.007436948,0.0029055,-0.99995935
1,2,0.403083235,0.14309971,0.842545033,0.020262061,0.004855254,-0.005100162,-0.999769926
2,1,0.149321839,0.000342446,0.280173421,-0.001294075,-0.031993955,-0.003348876,-0.999481618
2,2,0.307265967,0.155855402,0.794353843,-0.006167115,0.587383568,-0.031603459,-0.808667958
3,1,0.149822563,0.000216059,0.278413624,-0.000877077,-0.029861696,-0.004002946,-0.999545693
3,2,0.357662976,0.157546237,0.976551294,-0.02853623,-0.04191272,0.01639571,-0.998579144
4,1,0.23798129,0.002681526,0.385340929,0.000401741,-0.016754644,0.003043134,0.999854982
4,2,0.293857515,0.154172555,0.725444078,-0.015032219,-0.690401614,-0.008573823,-0.723219275
5,1,0.26339525,0.00309,0.394151032,0.001317873,0.029229579,0.00366658,0.999565184
5,2,0.410117507,0.159106612,1.031847835,0.020348735,-0.026710609,-0.02184343,0.999197364
6,1,0.159523368,-0.001043399,0.037777975,0.012631822,0.005461371,0.004418831,0.999895573
6,2,0.564050674,0.162005454,1.105618954,0.025897091,-0.055751741,-0.010221364,0.998056412
7,1,0.137939885,-0.000299702,0.036666408,0.020348156,0.056180596,0.010337819,0.998159707
7,2,0.190903068,0.157925934,1.034860134,-0.104869179,0.875951231,-0.079968952,-0.464022636
8,1,0.045954753,0.005386451,-0.078779429,0.003277992,0.007657233,0.003822434,-0.999957979
8,2,0.274142265,0.144309416,0.930429518,0.010684236,0.342934489,-0.000420067,-0.939298451
1,2,0.2590058743953705,0.008664923720061779,1.1049772500991821,-0.0009166367235593498,-0.0002275795122841373,0.0022330412175506353,-0.9999971389770508
1,1,0.41604694724082947,0.1505710482597351,0.6151633262634277,-0.009094083681702614,0.0036074076779186726,0.013153699226677418,-0.999865710735321
1,2,0.25900977849960327,0.008788556791841984,1.1050375699996948,-0.0017109184991568327,-0.00015327507571782917,0.0016617360524833202,-0.9999971985816956
1,1,0.4161732494831085,0.15133215487003326,0.6151192784309387,0.007797227241098881,0.0014330376870930195,-0.0038993130438029766,-0.9999610185623169
1,2,0.258989155292511,0.008850298821926117,1.1050872802734375,-0.001836857059970498,-0.00014527409803122282,0.0015997643349692225,-0.9999970197677612
1,1,0.4161536395549774,0.15137504041194916,0.6151482462882996,0.007592587266117334,0.0014734267024323344,-0.003571488428860903,-0.9999637603759766
1,2,0.25891637802124023,0.009090478532016277,1.1051511764526367,-0.00224411953240633,0.0001805573992896825,0.0023623111192137003,-0.9999947547912598
1,1,0.4161641001701355,0.1516975313425064,0.6153516173362732,0.00746295228600502,0.00015122813056223094,0.0018283319659531116,-0.999970555305481
1,2,0.2587837874889374,0.009710785001516342,1.1054657697677612,-0.0005957905668765306,0.00014412554446607828,0.0016617814544588327,-0.9999984502792358
1,1,0.41598090529441833,0.15183797478675842,0.6156947016716003,0.0094379261136055,0.0010753970127552748,0.0016966537805274129,-0.9999534487724304
1,2,0.2586042284965515,0.009913419373333454,1.1056430339813232,-0.0009371323394589126,0.00012927845818921924,0.0016280694399029016,-0.9999982714653015
1,1,0.41592854261398315,0.1520085334777832,0.6158196330070496,0.009458435699343681,0.0010553953470662236,0.0015990646788850427,-0.9999534487724304
1,2,0.25859180092811584,0.00993338506668806,1.1056562662124634,-0.0008588256896473467,0.00011242892651353031,0.001643792842514813,-0.9999982714653015
1,1,0.4159281849861145,0.15201713144779205,0.6158196330070496,0.00952958595007658,0.0011139704147353768,0.0014892149483785033,-0.9999528527259827
1,2,0.2585471570491791,0.009940451011061668,1.1057275533676147,-0.0010506616672500968,2.3793814762029797e-05,0.0011353265726938844,-0.9999988079071045
1,1,0.41590937972068787,0.15204966068267822,0.6158653497695923,0.009425481781363487,0.0011142069706693292,0.001778620993718505,-0.9999533891677856
1,1,0.30520081520080566,0.14378923177719116,-0.7410315871238708,-0.0039819758385419846,-0.024045808240771294,-0.007705586962401867,-0.9996732473373413
1,2,0.02787821739912033,0.14480042457580566,0.49853515625,-0.00027877595857717097,-4.652255665860139e-05,3.8027341361157596e-05,-1.0
