radius,phase_angle
0.079003647,2.370828502
0.079720339,2.174714887
0.080106701,1.979804409
0.080149881,1.785351474
0.079848715,1.590614277
0.079213664,1.394851142
0.078266777,1.197317663
0.077041639,0.997267318
0.075583265,0.793958671
0.073947835,0.586672947
0.072202096,0.374746278
0.070422217,0.157620693
0.068691757,-0.065084092
0.067098426,-0.29348129
0.065729369,-0.527322415
0.064664967,-0.765921608
0.063971652,-1.008132068
0.063694791,-1.252404976
0.063853189,-1.496940023
0.064436603,-1.739901739
0.065407021,-1.97964576
0.066703312,-2.214894399
0.068248001,-2.444824596
0.069954614,-2.669067231
0.071734334,-2.88764358
0.073501289,-3.100872941
0.075176321,2.97390617
0.076689432,2.769673413
0.077981223,2.568896547
0.079003647,2.370828502
