phase_angle,radius
-3.110341865,0.11364602
-3.098421907,0.110676398
-3.058852804,0.109154447
-3.045011474,0.106258982
-3.003107288,0.104976553
-2.987149668,0.102170375
-2.965158625,0.101635966
-2.947602783,0.098895903
-2.901588806,0.098059323
-2.881599396,0.095438942
-2.833505712,0.09490785
-2.810969617,0.092427765
-2.786066348,0.092297764
-2.761607748,0.089922691
-2.735986237,0.089907174
-2.709552176,0.087648926
-2.683310727,0.08775402
-2.654881223,0.0856249
-2.628147327,0.085856167
-2.597743447,0.083868695
-2.543855999,0.084654219
-2.511144844,0.082894176
-2.484268574,0.083451574
-2.449889495,0.081860209
-2.423162789,0.082553248
-2.387308569,0.081140549
-2.335137679,0.082853735
-2.260046211,0.080674125
-2.210786207,0.082910577
-2.172408678,0.082152218
-2.126599068,0.084726108
-2.088486148,0.084236379
-2.067132102,0.085656653
-2.029203287,0.085358875
-1.989782059,0.088440881
-1.952951063,0.088392849
-1.934925994,0.090042507
-1.898810628,0.09017195
-1.882139648,0.09190518
-1.84691049,0.092204722
-1.831584801,0.094013384
-1.797376119,0.094474792
-1.76989069,0.098245409
-1.7375293,0.098901775
-1.725274396,0.100853506
-1.66340941,0.102543089
-1.653000288,0.104579096
-1.435257558,0.115085831
-1.41584375,0.114505486
-1.391817473,0.116215556
-1.372401745,0.115732545
-1.326901772,0.11944856
-1.288600679,0.118819693
-1.267446108,0.12086401
-1.210298549,0.120393963
-1.190799322,0.122628353
-0.986308302,0.124720658
-0.964440725,0.122908075
-0.910103079,0.124507491
-0.887157695,0.122907824
-0.869265339,0.123572104
-0.845639725,0.122090644
-0.810332524,0.123639121
-0.761287494,0.121098687
-0.743976049,0.122033924
-0.53104131,0.115496513
-0.518932676,0.113657329
-0.461735624,0.112974897
-0.434324744,0.109520483
-0.40457671,0.109409737
-0.389745076,0.107762405
-0.359516223,0.107797684
-0.310893921,0.103163084
-0.279483569,0.103456828
-0.080685557,0.09077658
-0.069526293,0.087675827
0.080750139,0.082355615
0.115458443,0.083870665
0.142023732,0.083254377
0.175173741,0.084941054
0.228652619,0.084036126
0.344481326,0.092163436
0.345833766,0.09446288
0.460433752,0.106037841
0.482087143,0.106202957
0.537645017,0.113833956
0.557631715,0.11417393
0.574011171,0.116826657
0.61256784,0.117713989
0.627226456,0.120465075
0.645774412,0.121005922
0.659294517,0.123812497
0.712429368,0.125765161
0.723962699,0.128674262
0.883139542,0.137759472
0.905866799,0.136826698
0.948957028,0.140308726
0.971643433,0.139583138
0.99890197,0.142130479
1.021511571,0.141564182
1.034612493,0.142918716
1.057215445,0.142467278
1.069886875,0.143887078
1.092425306,0.143549567
1.104647069,0.145031956
1.262012558,0.144994375
1.27419548,0.143506065
1.319189424,0.144232397
1.332008213,0.14284753
1.354481452,0.143360849
1.367711859,0.142042156
1.390160153,0.142669911
1.40377612,0.141419776
1.426139806,0.142162218
1.46875356,0.138708656
1.491141935,0.139655474
1.664990282,0.129924229
1.676825408,0.127042654
1.711878302,0.12578543
1.72519276,0.122979506
1.761838227,0.121941574
1.776735065,0.119223261
1.814907749,0.118421386
1.831474262,0.115803787
1.851219828,0.115506528
1.86903838,0.112962352
1.889358704,0.112751729
1.908481987,0.110288393
1.950246803,0.110097645
1.971183168,0.107770695
1.992548279,0.107796221
2.014843956,0.105569404
2.036612541,0.105695884
2.060273406,0.103577682
2.104358737,0.104090446
2.129719449,0.10214691
2.151897518,0.102536605
2.178521005,0.100721239
2.200784861,0.101221294
2.228600712,0.099541978
2.250836211,0.100153912
2.279749415,0.098617968
2.323590325,0.100114676
2.353536795,0.098793217
2.37497047,0.099676194
2.405675587,0.098510597
2.426666869,0.099502763
2.457971383,0.098496884
2.478405052,0.099595767
2.510139122,0.098752193
2.52990922,0.099954462
2.561897893,0.099274446
2.580910979,0.100576005
2.612979847,0.100059464
2.648835996,0.102884274
2.680418463,0.102586507
2.69720073,0.104101642
2.728491502,0.103960627
2.744340128,0.105556575
2.77520565,0.105568429
2.804532797,0.108933437
2.834355169,0.109139591
2.847847471,0.110900281
2.877016174,0.111245994
2.889577417,0.113067729
2.918020265,0.113547139
2.929670812,0.115424483
3.011694675,0.117507256
3.028783341,0.116360762
3.055541136,0.117280103
3.090920207,0.115201771
3.117379888,0.116312997
