pose,model_id,marker_id,marker_x,marker_y,marker_z
1,1,1,0.339961469,0.08871533,-0.453289688
1,1,2,0.307706475,0.089739606,-0.453404844
1,1,3,0.339700222,0.087303087,-0.4728342
1,0,50000,0.062575355,0.089133397,-0.450297415
1,0,50001,0.118859187,0.057205547,-0.437798113
1,0,50025,0.140167922,0.058509424,-0.44107908
1,0,50028,0.182996854,0.058513626,-0.444180667
1,0,50030,0.22548677,0.058968976,-0.448406219
1,0,50031,0.268223107,0.059897918,-0.449948847
2,1,1,0.307904631,0.088785574,-0.463268697
2,1,2,0.278591335,0.08999867,-0.476534992
2,1,3,0.315831214,0.08724393,-0.481088161
2,0,50000,0.106235288,0.089014612,-0.365023404
2,0,50001,0.120377451,0.057904862,-0.421402752
2,0,50025,0.127566904,0.058661606,-0.441753656
2,0,50028,0.157196596,0.058211688,-0.47325623
2,0,50030,0.198069319,0.05863509,-0.486765057
2,0,50031,0.240770683,0.059726723,-0.489248991
3,1,1,0.279733807,0.086953312,-0.37230888
3,1,2,0.248063162,0.088382445,-0.377787113
3,1,3,0.282948434,0.086430661,-0.391529381
3,0,50000,0.063175328,0.089925207,-0.519796371
3,0,50001,0.114971101,0.058573753,-0.494813919
3,0,50025,0.133052617,0.059424039,-0.483238101
3,0,50028,0.158703059,0.058479473,-0.448408484
3,0,50031,0.208483621,0.058661476,-0.382402509
3,0,50057,0.176790759,0.058151789,-0.409821123
4,1,1,0.054079738,0.085879318,-0.295118719
4,1,2,0.083302863,0.08771956,-0.307707101
4,1,3,0.061905235,0.084159255,-0.277437776
4,0,50000,0.306531906,0.089920476,-0.388817161
4,0,50028,0.203494757,0.057398766,-0.327170581
4,0,50031,0.118302554,0.058213327,-0.327591747
4,0,50057,0.160690203,0.057772536,-0.330171734
4,0,50080,0.26143533,0.057809982,-0.353162855
4,0,50081,0.244732037,0.057885878,-0.339829087
5,1,1,0.152951658,0.087053947,-0.392855197
5,1,2,0.173925132,0.086930111,-0.368768424
5,1,3,0.138387486,0.085559554,-0.379966408
5,0,50239,0.201666847,0.058580115,-0.342299402
5,0,50305,0.246887952,0.057312317,-0.271056086
5,0,50307,0.228172943,0.057888191,-0.309104294
5,0,50314,0.245272607,0.056216419,-0.208902165
5,0,50315,0.251318693,0.057021622,-0.229396641
5,0,50336,0.197219461,0.086950667,-0.178621873
6,1,1,0.157209694,0.084737659,-0.271263689
6,1,2,0.185427055,0.085412659,-0.286657572
6,1,3,0.166731074,0.0836735,-0.25429672
6,0,50378,0.305579782,0.057129521,-0.239921033
6,0,50379,0.254846364,0.08653596,-0.185427323
6,0,50380,0.301700532,0.056956198,-0.218516394
6,0,50383,0.293332338,0.056912057,-0.279824108
6,0,50385,0.260157853,0.057266891,-0.305335701
6,0,50397,0.218587384,0.058251951,-0.308181256
7,1,1,0.328444451,0.087329492,-0.39515239
7,1,2,0.316997409,0.087196141,-0.365185946
7,1,3,0.310483009,0.0862232,-0.402024657
7,0,50454,0.201216966,0.057034079,-0.260817289
7,0,50455,0.196383119,0.056508958,-0.240061581
7,0,50458,0.232439741,0.056950923,-0.290304005
7,0,50476,0.273729771,0.057679765,-0.302348882
7,0,50494,0.306132823,0.058954675,-0.328662276
7,0,50495,0.185107902,0.08630155,-0.183756337
8,1,1,0.357104123,0.087765262,-0.395283341
8,1,2,0.328181744,0.087495193,-0.382095516
8,1,3,0.348900914,0.086865053,-0.412997931
8,0,50507,0.12540707,0.086741969,-0.282046676
8,0,50540,0.199676931,0.057618357,-0.280996919
8,0,50549,0.223831818,0.05749134,-0.315725148
8,0,50556,0.181259945,0.056853857,-0.269831538
8,0,50568,0.257253349,0.058020443,-0.342613578
8,0,50572,0.294617802,0.05896876,-0.363530725
